Fecha		Ap	Pb   ENSO
10/12/1999       100.87              62.69944211      -1.7
11/12/1999        99.42              62.06005965      -1.7
12/12/1999        99.17              58.30368772      -1.7
13/12/1999       133.16              64.11807193      -1.7
14/12/1999       112.11              80.28245965      -1.7
15/12/1999       124.78              64.67753158      -1.7
16/12/1999       156.73               66.0761807      -1.7
17/12/1999       166.89              70.67174211      -1.7
18/12/1999       132.98               62.6594807      -1.7
19/12/1999       125.99              58.30368772      -1.7
20/12/1999        115.8              69.15320877      -1.7
21/12/1999       106.29              68.27405789      -1.7
22/12/1999        98.66              65.07714561      -1.7
23/12/1999        97.67              67.69461754      -1.7
24/12/1999       109.39              63.43872807      -1.7
25/12/1999       121.73              58.30368772      -1.7
26/12/1999        94.73              61.04104386      -1.7
27/12/1999        87.86              66.77550526      -1.7
28/12/1999        68.14              66.99529298      -1.7
29/12/1999        64.45              70.67174211      -1.7
30/12/1999        68.48              69.31305439      -1.7
31/12/1999        61.66              68.21411579      -1.7
01/01/2000        60.57              65.40686526      -1.7
02/01/2000         61.1              65.46603914      -1.7
03/01/2000        63.39              74.77606339      -1.7
04/01/2000        64.54              83.73104434      -1.7
05/01/2000        67.04              81.64023381      -1.7
06/01/2000        64.86              72.88249913      -1.7
07/01/2000        73.85              76.41320748      -1.7
08/01/2000        82.82              63.67109803      -1.7
09/01/2000           86              63.67109803      -1.7
10/01/2000        75.99              63.67109803      -1.7
11/01/2000         89.8              67.49767579      -1.7
12/01/2000        64.79              70.91003637      -1.7
13/01/2000        67.61              70.89031174      -1.7
14/01/2000        58.05              72.36965882      -1.7
15/01/2000        64.19              65.42658989      -1.7
16/01/2000        60.32              63.67109803      -1.7
17/01/2000        58.55              67.10318324      -1.7
18/01/2000        72.78              78.50401801      -1.7
19/01/2000        61.01              72.38938344      -1.7
20/01/2000        64.02              78.91823519      -1.7
21/01/2000       109.65              75.22972982      -1.7
22/01/2000        84.32              69.92380499      -1.7
23/01/2000        59.09              63.78944579      -1.7
24/01/2000         51.9              67.83299446      -1.7
25/01/2000        52.03              73.80955663      -1.7
26/01/2000        59.75              88.26770869      -1.7
27/01/2000        57.84               86.2755213      -1.7
28/01/2000        50.16              91.52227225      -1.7
29/01/2000        62.63              73.55313647      -1.7
30/01/2000        66.03              70.16050052      -1.7
31/01/2000        70.28              87.26175268      -1.7
01/02/2000        86.32              77.25702218      -1.5
02/02/2000        97.44              72.62969866      -1.5
03/02/2000       109.31               67.1540325      -1.5
04/02/2000        80.91              68.11805824      -1.5
05/02/2000        60.62              66.55633655      -1.5
06/02/2000        66.02              65.34166413      -1.5
07/02/2000        71.33              71.80063653      -1.5
08/02/2000        52.59               74.5191891      -1.5
09/02/2000        50.12              68.88927882      -1.5
10/02/2000        52.45              71.97416116      -1.5
11/02/2000        47.51              70.79804977      -1.5
12/02/2000        48.11              79.64780599      -1.5
13/02/2000        41.16              74.07573726      -1.5
14/02/2000        41.31                82.944774      -1.5
15/02/2000        38.29              96.53753682      -1.5
16/02/2000        49.48              94.89869308      -1.5
17/02/2000        78.76              94.06963095      -1.5
18/02/2000         75.2                100.77925      -1.5
19/02/2000        77.59              75.83026409      -1.5
20/02/2000        73.55              70.48956154      -1.5
21/02/2000        61.66              99.73810225      -1.5
22/02/2000        81.77              83.31110378      -1.5
23/02/2000        76.31              91.02330963      -1.5
24/02/2000        94.48              84.56433723      -1.5
25/02/2000        93.43              76.73644828      -1.5
26/02/2000       139.35              69.48697478      -1.5
27/02/2000       115.95               65.1681395      -1.5
28/02/2000       132.74              66.96122736      -1.5
29/02/2000       116.18              68.83143728      -1.5
01/03/2000        98.67              68.31883489      -1.2
02/03/2000       100.94              72.41341545      -1.2
03/03/2000       149.43              64.81190246      -1.2
04/03/2000       109.43              78.47946072      -1.2
