dia           fecha             y
LUNES         14/04/03          6176
MARTES        15/04/03          7447
MIÉRCOLES     16/04/03          6787
JUEVES        17/04/03          1207
VIERNES       18/04/03          713
SÁBADO        19/04/03          1536
DOMINGO       20/04/03          1013
LUNES         21/04/03          6946
MARTES        22/04/03          5507
MIÉRCOLES     23/04/03          4943
JUEVES        24/04/03          4276
VIERNES       25/04/03          5028
SÁBADO        26/04/03          2670
DOMINGO       27/04/03          1030
LUNES         28/04/03          5856
MARTES        29/04/03          5574
MIÉRCOLES     30/04/03          7439
JUEVES        01/05/03          2153
VIERNES       02/05/03          7106
SÁBADO        03/05/03          2893
DOMINGO       04/05/03          1069
LUNES         05/05/03          6672
MARTES        06/05/03          5913
MIÉRCOLES     07/05/03          5160
JUEVES        08/05/03          4900
VIERNES       09/05/03          5406
SÁBADO        10/05/03          2757
DOMINGO       11/05/03          815
LUNES         12/05/03          4117
MARTES        13/05/03          5413
MIÉRCOLES     14/05/03          5279
JUEVES        15/05/03          6968
VIERNES       16/05/03          6465
SÁBADO        17/05/03          2392
DOMINGO       18/05/03          1035
LUNES         19/05/03          5439
MARTES        20/05/03          5228
MIÉRCOLES     21/05/03          4953
JUEVES        22/05/03          3450
VIERNES       23/05/03          1741
SÁBADO        24/05/03          2614
DOMINGO       25/05/03          1427
